codigo_tema,area_evaluada,tema_principal,subtema,tema_especifico,competencia_icfes,componente,afirmacion,evidencia,grado_introduccion,prerequisitos,temas_relacionados,orden_secuencial,nivel_dificultad,importancia_icfes,frecuencia_evaluacion,horas_teoria,horas_practica,numero_ejercicios_recomendados,sesiones_refuerzo,recursos_teoria,recursos_practica,recursos_evaluacion,umbral_dominio,tiempo_retencion,indicadores_dominio,estilo_aprendizaje_optimo,metodologia_recomendada,tipo_evaluacion,estado
SOC001,Sociales y Ciudadanas,Competencias ciudadanas,Derechos fundamentales,Derechos constitucionales básicos,Pensamiento social,Constitución,Identifica derechos fundamentales,Reconoce derechos de primera generación,8°,{},{SOC002;SOC003},1,2,5,24.5,3,5,45,2,{Constitución de 1991;videos explicativos},{casos de derechos;análisis de situaciones},{preguntas tipo ICFES de derechos},80.0,28,{identifica 15/20 derechos;aplica en casos concretos},reflexivo,caso-estudio,selección múltiple,activo
SOC002,Sociales y Ciudadanas,Competencias ciudadanas,Mecanismos de participación,El voto y otros mecanismos democráticos,Pensamiento social,Democracia,Conoce mecanismos de participación ciudadana,Identifica voto referendo plebiscito tutela,9°,{SOC001},{SOC004;SOC005},2,3,5,22.1,4,6,50,3,{mecanismos democráticos;videos de participación},{ejercicios de aplicación;casos reales},{preguntas tipo ICFES participación},75.0,21,{distingue 7/8 mecanismos;aplica según situación},participativo,aplicativo,selección múltiple,activo
SOC003,Sociales y Ciudadanas,Competencias ciudadanas,Ramas del poder público,División de poderes en Colombia,Interpretación y análisis,Estado,Identifica las tres ramas del poder,Reconoce funciones ejecutiva legislativa judicial,9°,{SOC002},{SOC006;SOC007},3,2,5,20.8,3,5,40,2,{estructura del Estado;organigrama},{análisis de funciones;casos de competencias},{preguntas tipo ICFES sobre Estado},80.0,21,{identifica funciones de cada rama;relaciona con instituciones},analítico,estructural,selección múltiple,activo
SOC004,Sociales y Ciudadanas,Historia de Colombia,Independencia,Proceso independentista 1810-1819,Pensamiento reflexivo,Historia nacional,Comprende el proceso de independencia,Identifica causas acontecimientos y consecuencias,9°,{SOC003},{SOC008;SOC009},4,3,5,19.6,4,7,55,3,{cronología de independencia;personajes clave},{análisis de causas;mapas históricos},{preguntas tipo ICFES historia},75.0,35,{identifica fechas clave;explica causas y consecuencias},histórico,cronológico,selección múltiple,activo
SOC005,Sociales y Ciudadanas,Historia de Colombia,Siglo XX,Violencia bipartidista y Frente Nacional,Pensamiento reflexivo,Historia contemporánea,Analiza la violencia del siglo XX,Comprende período 1948-1958 y Frente Nacional,10°,{SOC004},{SOC010;SOC011},5,4,5,21.3,5,8,60,4,{violencia bipartidista;documentales},{análisis de fuentes;interpretación de datos},{preguntas tipo ICFES siglo XX},70.0,28,{explica causas de la violencia;analiza consecuencias del Frente Nacional},crítico-histórico,analítico,selección múltiple,activo
SOC006,Sociales y Ciudadanas,Geografía,Regiones de Colombia,Características regionales del país,Interpretación y análisis,Geografía nacional,Identifica regiones naturales de Colombia,Reconoce Andina Caribe Pacífica Orinoquía Amazonía,8°,{SOC005},{SOC012;SOC013},6,2,4,18.4,3,6,45,2,{mapas de Colombia;características regionales},{ejercicios de ubicación;comparación regional},{preguntas tipo ICFES geografía},80.0,21,{ubica 5/6 regiones;describe características principales},visual-espacial,cartográfico,selección múltiple,activo
SOC007,Sociales y Ciudadanas,Geografía,Recursos naturales,Recursos renovables y no renovables,Interpretación y análisis,Medio ambiente,Clasifica recursos naturales,Distingue recursos renovables de no renovables,8°,{SOC006},{SOC014;SOC015},7,2,4,17.8,3,5,40,2,{tipos de recursos;sostenibilidad},{casos ambientales;análisis de explotación},{preguntas tipo ICFES recursos},75.0,28,{clasifica 8/10 recursos;evalúa sostenibilidad},ambiental,clasificatorio,selección múltiple,activo
SOC008,Sociales y Ciudadanas,Economía,Sectores económicos,Primario secundario y terciario,Pensamiento sistémico,Economía básica,Identifica sectores de la economía,Clasifica actividades económicas por sector,9°,{SOC007},{SOC016;SOC017},8,2,4,16.9,3,6,45,3,{sectores económicos;ejemplos colombianos},{clasificación de actividades;análisis sectorial},{preguntas tipo ICFES economía},75.0,21,{clasifica 12/15 actividades;relaciona con desarrollo},económico,categórico,selección múltiple,activo
SOC009,Sociales y Ciudadanas,Economía,Globalización,Efectos de la globalización en Colombia,Pensamiento sistémico,Economía global,Comprende el proceso de globalización,Analiza efectos económicos sociales y culturales,10°,{SOC008},{SOC018;SOC019},9,3,4,15.7,4,7,50,3,{globalización;tratados comerciales},{análisis de impactos;casos colombianos},{preguntas tipo ICFES globalización},70.0,35,{identifica 5/7 efectos;evalúa ventajas y desventajas},sistémico-global,evaluativo,selección múltiple,activo
SOC010,Sociales y Ciudadanas,Conflicto armado,Actores del conflicto,Guerrilla paramilitarismo narcotráfico,Pensamiento reflexivo,Conflicto interno,Identifica actores del conflicto armado,Comprende dinámicas del conflicto colombiano,11°,{SOC009},{SOC020;SOC021},10,4,5,18.9,5,8,55,4,{historia del conflicto;actores armados},{análisis de causas;consecuencias sociales},{preguntas tipo ICFES conflicto},65.0,42,{identifica actores principales;analiza causas estructurales},crítico-reflexivo,multicausal,selección múltiple,activo
SOC011,Sociales y Ciudadanas,Derechos humanos,DIH,Derecho Internacional Humanitario,Pensamiento social,Marco legal,Comprende principios del DIH,Aplica DIH a situaciones de conflicto,11°,{SOC010},{SOC022;SOC023},11,4,4,14.3,4,6,40,3,{convenios de Ginebra;principios DIH},{casos de aplicación;análisis de violaciones},{preguntas tipo ICFES DIH},65.0,35,{identifica principios básicos;aplica a casos concretos},humanitario,casuístico,selección múltiple,activo
SOC012,Sociales y Ciudadanas,Multiculturalidad,Diversidad étnica,Grupos étnicos de Colombia,Interpretación y análisis,Diversidad,Reconoce la diversidad étnica colombiana,Identifica grupos indígenas afros rom raizales,9°,{SOC011},{SOC024;SOC025},12,3,4,16.5,3,5,45,2,{diversidad étnica;derechos diferenciados},{mapas étnicos;casos de discriminación},{preguntas tipo ICFES diversidad},70.0,28,{identifica grupos étnicos;reconoce derechos especiales},intercultural,inclusivo,selección múltiple,activo
SOC013,Sociales y Ciudadanas,América Latina,Independencias,Procesos independentistas latinoamericanos,Pensamiento reflexivo,Historia regional,Comprende independencias latinoamericanas,Compara procesos independentistas en América,10°,{SOC012},{SOC026;SOC027},13,3,3,13.8,4,6,40,3,{independencias comparadas;líderes},{análisis comparativo;mapas históricos},{preguntas tipo ICFES América},65.0,35,{compara 3/4 procesos;identifica similitudes y diferencias},comparativo,regional,selección múltiple,activo
SOC014,Sociales y Ciudadanas,Mundo contemporáneo,Guerra Fría,Bipolaridad mundial 1945-1991,Pensamiento sistémico,Historia mundial,Comprende la Guerra Fría,Analiza bipolaridad USA-URSS y efectos,10°,{SOC013},{SOC028;SOC029},14,3,3,12.9,4,6,35,3,{Guerra Fría;bloques ideológicos},{análisis de conflictos;consecuencias},{preguntas tipo ICFES mundial},60.0,35,{explica bipolaridad;identifica conflictos derivados},geopolítico,contextual,selección múltiple,activo
SOC015,Sociales y Ciudadanas,Aplicación ICFES,Simulacros completos,Práctica integral sociales y ciudadanas,Pensamiento integral,Aplicación ICFES,Resuelve pruebas tipo ICFES sociales,Aplica competencias en formato oficial,11°,{SOC014},{},15,4,5,26.7,2,12,80,5,{simulacros ICFES;guías de estudio},{pruebas cronometradas;análisis},{simulacros oficiales},75.0,14,{responde 40/50 correctamente;maneja tiempo},estratégico,integral,simulacro oficial,activo
